timestamp,value
167850,OPEN
667867,OPEN
1167861,OPEN
1667877,OPEN
2167881,OPEN
2667867,OPEN
3167869,OPEN
3667871,OPEN
4167882,OPEN
4667888,OPEN
5167889,OPEN
5667887,OPEN
6167889,OPEN
6667886,OPEN
7167896,OPEN
7667900,OPEN
8167898,OPEN
8667901,OPEN
9167912,OPEN
9667910,OPEN
10167910,OPEN
10667913,OPEN
11167921,OPEN
11667925,OPEN
12167918,OPEN
12667938,OPEN
13167932,OPEN
13667927,OPEN
14167946,OPEN
14667950,OPEN
15167938,OPEN
15667947,OPEN
16167956,OPEN
16667959,OPEN
17167950,OPEN
17667956,OPEN
18167955,OPEN
18667962,OPEN
19167973,OPEN
19667968,OPEN
20167969,OPEN
20667966,OPEN
21167971,OPEN
21667981,OPEN
22167980,OPEN
22667979,OPEN
23167981,OPEN
23667990,OPEN
24100641,OPEN
24110181,OPEN
24609978,OPEN
25110008,OPEN
25609992,OPEN
26109996,OPEN
26609991,OPEN
27110028,OPEN
27609994,OPEN
28110006,OPEN
28610004,OPEN
29110031,OPEN
29610085,OPEN
30110004,OPEN
30610012,OPEN
31110043,OPEN
31610100,OPEN
32110172,OPEN
32610028,OPEN
33110035,OPEN
33610036,OPEN
34110109,OPEN
34610030,OPEN
35110044,OPEN
35610104,OPEN
36110051,OPEN
36610102,OPEN
37110042,OPEN
37610043,OPEN
38110131,OPEN
38610071,OPEN
39110171,OPEN
39610134,OPEN
40110077,OPEN
40610061,OPEN
41110076,OPEN
41610069,OPEN
42110064,OPEN
42610082,OPEN
43110102,OPEN
43610080,OPEN
44110112,OPEN
44610154,OPEN
45110082,OPEN
45610108,OPEN
46110204,OPEN
46610178,OPEN
47110130,OPEN
47610105,OPEN
48110176,OPEN
48610128,OPEN
49110104,OPEN
49610099,OPEN
50110120,OPEN
50610281,OPEN
51110116,OPEN
51610117,OPEN
52110126,OPEN
52610154,OPEN
53110138,OPEN
53610132,OPEN
54110123,OPEN
54610138,OPEN
55110142,OPEN
55610195,OPEN
56110186,OPEN
56610138,OPEN
57110155,OPEN
57610143,OPEN
58110163,OPEN
58610179,OPEN
59110174,OPEN
59610155,OPEN
60110229,OPEN
60610162,OPEN
61110249,OPEN
61610208,OPEN
62110163,OPEN
62610171,OPEN
63110182,OPEN
63610235,OPEN
64110174,OPEN
64610206,OPEN
65110235,OPEN
65610180,OPEN
66110187,OPEN
66610205,OPEN
67110190,OPEN
67610272,OPEN
68110199,OPEN
68610194,OPEN
69110200,OPEN
69610221,OPEN
70110237,OPEN
70610285,OPEN
71110220,OPEN
71610388,OPEN
72110233,OPEN
72610276,OPEN
73110245,OPEN
73610267,OPEN
74110228,OPEN
74610253,OPEN
75110323,OPEN
75610234,OPEN
76110242,OPEN
76610264,OPEN
77110241,OPEN
77610313,OPEN
78110241,OPEN
78610291,OPEN
79110245,OPEN
79610263,OPEN
80110336,OPEN
80326874,OPEN
80326887,OPEN
80335996,OPEN
80336637,CLOSED
80836690,CLOSED
81336315,CLOSED
81836517,CLOSED
82336454,CLOSED
82836706,CLOSED
83335982,CLOSED
83336662,OPEN
83463564,OPEN
83962297,OPEN
84462426,OPEN
84962756,OPEN
85462767,OPEN
85962768,OPEN
86462675,OPEN
86962313,OPEN
87462883,OPEN
87962730,OPEN
88462752,OPEN
88962791,OPEN
89462507,OPEN
89963179,OPEN
90462782,OPEN
90484917,OPEN
90984289,OPEN
91484298,OPEN
91984303,OPEN
92484310,OPEN
92984300,OPEN
93484322,OPEN
93984329,OPEN
94484332,OPEN
94984309,OPEN
95484320,OPEN
95984318,OPEN
96485324,OPEN
96484325,OPEN
96495700,OPEN
96995407,OPEN
97495475,OPEN
97995385,OPEN
98495347,OPEN
98995367,OPEN
99495362,OPEN
99995498,OPEN
100495432,OPEN
100995363,OPEN
101495365,OPEN
101995360,OPEN
102495514,OPEN
102995513,OPEN
103495370,OPEN
103995507,OPEN
104495478,OPEN
104899368,OPEN
104898526,OPEN
105399377,OPEN
105899377,OPEN
106399378,OPEN
106898502,OPEN
106906857,OPEN
107406397,OPEN
107906485,OPEN
108406432,OPEN
108906412,OPEN
109406434,OPEN
109906424,OPEN
110406424,OPEN
110906480,OPEN
111406426,OPEN
111906538,OPEN
112406424,OPEN
112906426,OPEN
113406445,OPEN
113906446,OPEN
